Date,CPI_MoM
01/03/1923,0.0
01/04/1923,0.005952380952380825
01/05/1923,0.0
01/06/1923,0.005917159763313694
01/07/1923,0.0117647058823529
01/08/1923,-0.005813953488371969
01/09/1923,0.005847953216374144
01/10/1923,0.005813953488372176
01/11/1923,0.0
01/12/1923,0.0
01/01/1924,0.0
01/02/1924,-0.005780346820809331
01/03/1924,-0.005813953488371969
01/04/1924,-0.005847953216374352
01/05/1924,0.0
01/06/1924,0.0
01/07/1924,0.005882352941176554
01/08/1924,-0.005847953216374352
01/09/1924,0.005882352941176554
01/10/1924,0.005847953216374144
01/11/1924,0.0
01/12/1924,0.005813953488372176
01/01/1925,0.0
01/02/1925,-0.005780346820809331
01/03/1925,0.005813953488372176
01/04/1925,-0.005780346820809331
01/05/1925,0.005813953488372176
01/06/1925,0.011560693641618455
01/07/1925,0.011428571428571389
01/08/1925,0.0
01/09/1925,0.0
01/10/1925,0.0
01/11/1925,0.016949152542372923
01/12/1925,-0.005555555555555635
01/01/1926,0.0
01/02/1926,0.0
01/03/1926,-0.005586592178770831
01/04/1926,0.005617977528089768
01/05/1926,-0.005586592178770831
01/06/1926,-0.005617977528089967
01/07/1926,-0.011299435028248548
01/08/1926,-0.005714285714285796
01/09/1926,0.0057471264367816915
01/10/1926,0.005714285714285796
01/11/1926,0.0056818181818180605
01/12/1926,0.0
01/01/1927,-0.011299435028248548
01/02/1927,-0.005714285714285796
01/03/1927,-0.005747126436781487
01/04/1927,0.0
01/05/1927,0.005780346820809125
01/06/1927,0.011494252873563383
01/07/1927,-0.017045454545454586
01/08/1927,-0.005780346820809331
01/09/1927,0.005813953488372176
01/10/1927,0.005780346820809125
01/11/1927,-0.005747126436781487
01/12/1927,0.0
01/01/1928,0.0
01/02/1928,-0.011560693641618455
01/03/1928,0.0
01/04/1928,0.0
01/05/1928,0.005847953216374144
01/06/1928,-0.005813953488371969
01/07/1928,0.0
01/08/1928,0.0
01/09/1928,0.011695906432748496
01/10/1928,-0.005780346820809331
01/11/1928,0.0
01/12/1928,-0.005813953488371969
01/01/1929,0.0
01/02/1929,0.0
01/03/1929,-0.005847953216374352
01/04/1929,-0.005882352941176554
01/05/1929,0.005917159763313694
01/06/1929,0.005882352941176554
01/07/1929,0.011695906432748496
01/08/1929,0.0
01/09/1929,0.0
01/10/1929,0.0
01/11/1929,0.0
01/12/1929,-0.005780346820809331
01/01/1930,-0.005813953488371969
01/02/1930,-0.005847953216374352
01/03/1930,-0.005882352941176554
01/04/1930,0.005917159763313694
01/05/1930,-0.005882352941176554
01/06/1930,-0.0059171597633134836
01/07/1930,-0.011904761904761862
01/08/1930,-0.006024096385542254
01/09/1930,0.0060606060606061465
01/10/1930,-0.006024096385542254
